mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
81340	1	qam	ḍam	root	1P	qam,58	
81347	1	qamp	ḍamp	root	10Ā		
81348	1	qamb	ḍamb	root	10	qamb,58	1
81357	1	qamB	ḍambh	root	10Ā		
81417	1	qip	ḍip	root	10Ā,4,6,10P		1
81418	1	qim	ḍim	root			
81421	1	qimp	ḍimp	root			
81421.1	1	qimb	ḍimb	root			
81428	1	qimB	ḍimbh	root	0		
81442	1	qI	ḍī	genuineroot	1,4Ā	qI,58	
81478	1	qval	ḍval	root			
81504	1	QuRQ	ḍhuṇḍh	root			
81523	1	QOk	ḍhauk	genuineroot	1Ā	QOk,59	
81566	1	taMs	taṃs	root	1P,1Ā,10	taMs,59	1
81570	1	tak	tak	root	2,1	tak,59	1
81602	1	takz	takṣ	genuineroot	1P,1Ā,2,5Ā	takz,59	1
81649	1	taNk	taṅk	root	1P		
81651	1	taNg	taṅg	root	1P		1
81659	1	taYc	tañc	root	1		
81660	1	taYc	tañc	root	7	taYc,60	
81661	3	taYj	tañj	root	0		
81663	1	taw	taṭ	root	1P	taw,60	1
81685	1	taq	taḍ	genuineroot	10	taq,60	1
81720	1	taRq	taṇḍ	root	1Ā		1
82219	1	tan	tan	root	1,10		
82220	1	tan	tan	genuineroot	4	tan2,61	
82226	1	tan	tan	genuineroot	8P,8Ā	tan1,60	
82581	1	tand	tand	root	1Ā	tand,61	
82582	2	tandr	tandr	root	1P		
82606	1	tap	tap	root	4Ā		1
82608	1	tap	tap	genuineroot	1Ā,4,4Ā,4P	tap,61	
82867	1	tam	tam	genuineroot	4Ā	tam,61	1
83014	1	tamb	tamb	root	1		
83018	1	tay	tay	root	1		1
83185	2	taruz	taruṣ	root			
83341	1	tark	tark	genuineroot	10	tark,61	
83427	1	tarj	tarj	genuineroot	1Ā	tarj,62	
83448	1	tard	tard	root	1P		1
83479	1	tarb	tarb	root	1P		
83502	1	tal	tal	root	1,10		1
83653	1	tas	tas	root	4		1
84221	1	tAy	tāy	root	1	tAy,62	1
84740	1	tik	tik	root	1,5		1
84747	1	tig	tig	root	5		
84749	1	tiG	tigh	root	5		1
84753	1	tij	tij	genuineroot	1P	tij,62	1
84971	1	tip	tip	root	1P		1
84973	1	tim	tim	root	4P	tim,62	
85213	1	til	til	root	1		
85214	1	til	til	root	6,10		
85350	1	till	till	root	1P		1
85391	1	tIk	tīk	root	1Ā		1
85527	1	tIm	tīm	root	4		
85649	1	tIv	tīv	root	1		
85700	2	tIvraya	tīvraya	root			
85705	1	tu	tu	root	2	tu,63	
85813	1	tuj	tuj	genuineroot	6Ā,6P,1	tuj,63	1
85823	1	tuw	tuṭ	root	6		
85827	1	tuq	tuḍ	root	1,6		
85830	1	tuqq	tuḍḍ	root	1P		
85831	1	tuR	tuṇ	root	6P		
85833	1	tuRq	tuṇḍ	root	1Ā		
85879	1	tud	tud	genuineroot	6P	tud,63	
85892	1	tund	tund	root	1		1
85921	1	tup	tup	root	1,6		
85921.1	1	tuP	tuph	root	1,6		
85936	1	tuB	tubh	root	1,4,9		
85943	1	tump	tump	root	1,6		1
85943.1	1	tumP	tumph	root	1,6		
85944	1	tumb	tumb	root	1,10		
85972	1	tur	tur	root	6Ā,4Ā,3		
86098	1	turv	turv	root	1P	turv,64	
86105	1	tul	tul	genuineroot	10Ā	tul,64	
86263	1	tuS	tuś	root	1	tuS,64	
86264	1	tuS	tuś	root	1		
86265	1	tuz	tuṣ	genuineroot	4	tuz,64	
86323	1	tus	tus	root	1		
86325	1	tuh	tuh	root	1		
86357	1	tUq	tūḍ	root	1		1
86358	1	tUR	tūṇ	root	10		
86445	1	tUl	tūl	root	1,10		
86494	1	tUz	tūṣ	root	1		
86525	1	tfkz	tṛkṣ	root	1		
86537	1	tfR	tṛṇ	root	8		
86720	1	tfd	tṛd	root	7Ā	tfd,65	
86723	1	tfp	tṛp	genuineroot	4,5,6Ā,6P,1Ā	tfp,65	
86765	1	tfP	tṛph	root	6		
86769	1	tfmp	tṛmp	root	6		
